font,codepoint,stroke,confidence,apex_score,tail_source,rare_orientation,off_ink_tail
Assurbanipal,0x12001,1,0.7759,0.9173,network,0,0
Assurbanipal,0x12001,2,0.8838,0.9776,network,0,0
Assurbanipal,0x12001,3,0.9075,0.9749,network,0,0
Assurbanipal,0x12001,4,0.683,0.9758,network,0,0
Assurbanipal,0x12001,5,0.8901,0.9417,network,0,0
Assurbanipal,0x12001,6,0.883,0.9588,network,0,0
Assurbanipal,0x12002,1,0.8747,0.9678,network,0,0
Assurbanipal,0x12002,2,0.8457,0.9506,skeleton,0,0
Assurbanipal,0x12002,3,0.0,0.9702,network,1,0
Assurbanipal,0x12002,4,0.9038,0.9491,network,0,0
Assurbanipal,0x12002,5,0.8814,0.9631,network,0,0
Assurbanipal,0x12004,1,0.9158,0.9158,network,0,0
Assurbanipal,0x12004,2,0.8582,0.8973,network,0,0
Assurbanipal,0x12004,3,0.9492,0.9534,network,0,0
Assurbanipal,0x12004,4,0.8187,0.8187,network,0,0
Assurbanipal,0x12004,5,0.8747,0.9346,skeleton,0,0
Assurbanipal,0x12004,6,0.8747,0.9799,network,0,0
Assurbanipal,0x12004,7,0.8982,0.9584,network,0,0
Assurbanipal,0x12004,8,0.8764,0.985,network,0,0
Assurbanipal,0x12005,1,0.9396,0.9536,skeleton,0,0
Assurbanipal,0x12005,2,0.9481,0.9684,network,0,0
Assurbanipal,0x12005,3,0.8413,0.9315,network,0,0
Assurbanipal,0x12005,4,0.7701,0.9541,network,0,0
Assurbanipal,0x12005,5,0.8717,0.9274,network,0,0
Assurbanipal,0x12005,6,0.8862,0.952,network,0,0
Assurbanipal,0x12006,1,0.912,0.945,network,0,0
Assurbanipal,0x12006,2,0.9172,0.9835,network,0,0
Assurbanipal,0x12006,3,0.0055,0.9775,network,0,0
Assurbanipal,0x12006,4,0.8916,0.9431,network,0,0
Assurbanipal,0x12006,5,0.9101,0.9497,network,0,0
Assurbanipal,0x12006,6,0.9425,0.9425,network,0,0
Assurbanipal,0x12006,7,0.0436,0.9412,network,0,0
Assurbanipal,0x12006,8,0.004,0.9601,skeleton,0,0
Assurbanipal,0x12006,9,0.5395,0.9334,network,0,0
Assurbanipal,0x12006,10,0.9078,0.9489,network,0,0
Assurbanipal,0x12007,1,0.8874,0.9222,network,0,0
Assurbanipal,0x12007,2,0.8026,0.9454,network,0,0
Assurbanipal,0x12007,3,0.9382,0.9506,network,0,0
Assurbanipal,0x12007,4,0.9382,0.9582,network,0,0
Assurbanipal,0x12007,5,0.3206,0.9406,network,0,0
Assurbanipal,0x12007,6,0.9097,0.9468,network,0,0
Assurbanipal,0x12007,7,0.8668,0.9683,network,0,0
Assurbanipal,0x12007,8,0.9226,0.9519,network,0,0
Assurbanipal,0x12007,9,0.8515,0.9337,network,0,0
Assurbanipal,0x12007,10,0.7628,0.784,network,0,0
Assurbanipal,0x12007,11,0.0,0.9568,skeleton,0,0
Assurbanipal,0x12007,12,0.9189,0.9491,network,0,0
Assurbanipal,0x12008,1,0.9004,0.9379,network,0,0
Assurbanipal,0x12008,2,0.8645,0.937,network,0,0
Assurbanipal,0x12008,3,0.9267,0.952,network,0,0
Assurbanipal,0x12008,4,0.8818,0.975,skeleton,0,0
Assurbanipal,0x12008,5,0.8818,0.9312,network,0,0
Assurbanipal,0x12008,6,0.8874,0.9315,network,0,0
Assurbanipal,0x12008,7,0.9065,0.9325,network,0,0
Assurbanipal,0x12008,8,0.8866,0.9464,network,0,0
Assurbanipal,0x12008,9,0.6527,0.9585,network,0,0
Assurbanipal,0x12008,10,0.8781,0.9167,network,0,0
Assurbanipal,0x1200b,1,0.9215,0.9332,network,0,0
Assurbanipal,0x1200b,2,0.8942,0.9711,network,0,0
Assurbanipal,0x1200b,3,0.9007,0.9305,network,0,0
Assurbanipal,0x1200b,4,0.8713,0.9102,network,0,0
Assurbanipal,0x1200b,5,0.2327,0.8431,skeleton,0,0
Assurbanipal,0x1200b,6,0.8502,0.903,network,0,0
Assurbanipal,0x1200c,1,0.0397,0.9574,network,0,0
Assurbanipal,0x1200c,2,0.9201,0.9524,network,0,0
Assurbanipal,0x1200c,3,0.865,0.9358,network,0,0
Assurbanipal,0x1200c,4,0.0001,0.9491,network,0,0
Assurbanipal,0x1200c,5,0.6749,0.9517,network,0,0
Assurbanipal,0x1200c,6,0.2655,0.9705,network,0,0
Assurbanipal,0x1200c,7,0.847,0.9208,network,0,0
Assurbanipal,0x1200c,8,0.8862,0.9584,network,0,0
Assurbanipal,0x1200c,9,0.9189,0.9558,network,0,0
Assurbanipal,0x1200c,10,0.8886,0.9406,network,0,0
Assurbanipal,0x1200c,11,0.8886,0.9614,network,0,0
Assurbanipal,0x1200c,12,0.9453,0.9722,network,0,0
Assurbanipal,0x1200c,13,0.9615,0.9733,network,0,0
Assurbanipal,0x1200c,14,0.6749,0.9611,network,0,0
Assurbanipal,0x1200d,1,0.0614,0.951,network,0,0
Assurbanipal,0x1200d,2,0.8632,0.9681,network,0,0
Assurbanipal,0x1200d,3,0.8743,0.9448,network,0,0
Assurbanipal,0x1200d,4,0.8664,0.9701,network,0,0
Assurbanipal,0x1200d,5,0.8641,0.9146,skeleton,0,0
Assurbanipal,0x1200d,6,0.924,0.9266,network,0,0
Assurbanipal,0x1200d,7,0.9157,0.9225,network,0,0
Assurbanipal,0x1200d,8,0.9157,0.9614,network,0,0
Assurbanipal,0x1200d,9,0.9141,0.9651,network,0,0
Assurbanipal,0x1200d,10,0.7931,0.9615,network,0,0
Assurbanipal,0x1200d,11,0.8467,0.9543,network,0,0
Assurbanipal,0x1200e,1,0.5332,0.9468,network,0,0
Assurbanipal,0x1200e,2,0.8882,0.9621,network,0,0
Assurbanipal,0x1200e,3,0.8686,0.9495,network,0,0
Assurbanipal,0x1200e,4,0.8505,0.9673,skeleton,0,0
Assurbanipal,0x1200e,5,0.825,0.9485,skeleton,0,0
Assurbanipal,0x1200e,6,0.85,0.9563,network,0,0
Assurbanipal,0x1200e,7,0.9088,0.9216,network,0,0
Assurbanipal,0x1200e,8,0.9267,0.9612,network,0,0
Assurbanipal,0x1200e,9,0.9267,0.9781,network,0,0
Assurbanipal,0x1200e,10,0.9546,0.9548,network,0,0
Assurbanipal,0x1200e,11,0.9172,0.9681,network,0,0
Assurbanipal,0x1200e,12,0.825,0.9468,network,0,0
Assurbanipal,0x12010,1,0.9326,0.9558,skeleton,0,0
Assurbanipal,0x12010,2,0.8673,0.9728,skeleton,0,0
Assurbanipal,0x12010,3,0.885,0.9883,network,0,0
Assurbanipal,0x12010,4,0.8597,0.88,skeleton,0,0
Assurbanipal,0x12010,5,0.9218,0.95,network,0,0
Assurbanipal,0x12010,6,0.795,0.9526,network,0,0
Assurbanipal,0x12010,7,0.0433,0.9196,network,0,0
Assurbanipal,0x12010,8,0.8542,0.9536,network,0,0
Assurbanipal,0x12010,9,0.0,0.9444,network,0,0
Assurbanipal,0x12010,10,0.8862,0.9687,network,0,0
Assurbanipal,0x12010,11,0.0007,0.8933,network,0,0
Assurbanipal,0x12010,12,0.4182,0.9797,network,0,0
Assurbanipal,0x12010,13,0.9344,0.9344,network,0,0
Assurbanipal,0x12010,14,0.8931,0.9601,network,0,0
Assurbanipal,0x12010,15,0.9004,0.969,network,0,0
Assurbanipal,0x12011,1,0.4888,0.9563,network,0,0
Assurbanipal,0x12011,2,0.9195,0.963,network,0,0
Assurbanipal,0x12011,3,0.6741,0.9561,network,0,0
Assurbanipal,0x12011,4,0.8102,0.9214,network,0,0
Assurbanipal,0x12011,5,0.8199,0.9588,network,0,0
Assurbanipal,0x12011,6,0.8331,0.9904,network,0,0
Assurbanipal,0x12011,7,0.8882,0.9693,network,0,0
Assurbanipal,0x12011,8,0.7531,0.9715,network,0,0
Assurbanipal,0x12011,9,0.9595,0.9875,network,0,0
Assurbanipal,0x12011,10,0.9453,0.9716,network,0,0
Assurbanipal,0x12011,11,0.8897,0.9759,network,0,0
Assurbanipal,0x12011,12,0.9251,0.9826,network,0,0
Assurbanipal,0x12011,13,0.8199,0.9607,network,0,0
Assurbanipal,0x12012,1,0.0434,0.9339,network,0,0
Assurbanipal,0x12012,2,0.8886,0.9759,network,0,0
Assurbanipal,0x12012,3,0.8655,0.903,network,0,0
Assurbanipal,0x12012,4,0.7837,0.9592,skeleton,0,0
Assurbanipal,0x12012,5,0.4441,0.9489,network,0,0
Assurbanipal,0x12012,6,0.7432,0.959,network,0,0
Assurbanipal,0x12012,7,0.05,0.8812,skeleton,0,1
Assurbanipal,0x12012,8,0.6044,0.9284,network,0,0
Assurbanipal,0x12012,9,0.9262,0.9853,network,0,0
Assurbanipal,0x12012,10,0.8199,0.9508,network,0,0
Assurbanipal,0x12014,1,0.1162,0.9458,network,0,0
Assurbanipal,0x12014,2,0.8659,0.9746,network,0,0
Assurbanipal,0x12014,3,0.9144,0.9349,network,0,0
Assurbanipal,0x12014,4,0.8403,0.9534,skeleton,0,0
Assurbanipal,0x12014,5,0.05,0.97,network,0,1
Assurbanipal,0x12014,6,0.7383,0.9627,network,0,0
Assurbanipal,0x12014,7,0.7994,0.9817,network,0,0
Assurbanipal,0x12014,8,0.5122,0.9741,network,0,0
Assurbanipal,0x12014,9,0.8459,0.9228,network,0,0
Assurbanipal,0x12015,1,0.832,0.9281,network,0,0
Assurbanipal,0x12015,2,0.0018,0.905,network,0,0
Assurbanipal,0x12015,3,0.0001,0.8816,network,0,0
Assurbanipal,0x12015,4,0.6671,0.9515,network,0,0
Assurbanipal,0x12015,5,0.7578,0.9524,network,0,0
Assurbanipal,0x12015,6,0.8216,0.908,network,0,0
Assurbanipal,0x12015,7,0.8905,0.9812,network,0,0
Assurbanipal,0x12015,8,0.7921,0.9732,network,0,0
Assurbanipal,0x12015,9,0.8975,0.9617,network,0,0
Assurbanipal,0x12017,1,0.9313,0.9768,network,0,0
Assurbanipal,0x12017,2,0.633,0.9643,network,0,0
Assurbanipal,0x12017,3,0.8601,0.9214,network,0,0
Assurbanipal,0x12017,4,0.05,0.596,network,0,1
Assurbanipal,0x12017,5,0.069,0.9678,network,0,0
Assurbanipal,0x12017,6,0.912,0.9783,network,0,0
Assurbanipal,0x12017,7,0.0003,0.9558,network,0,0
Assurbanipal,0x12017,8,0.65,0.9809,skeleton,0,0
Assurbanipal,0x12017,9,0.05,0.9737,network,0,1
Assurbanipal,0x12017,10,0.892,0.9727,network,0,0
Assurbanipal,0x12017,11,0.05,0.967,network,0,1
Assurbanipal,0x12017,12,0.9195,0.969,network,0,0
Assurbanipal,0x12018,1,0.9081,0.9581,network,0,0
Assurbanipal,0x12018,2,0.9058,0.9804,network,0,0
Assurbanipal,0x12018,3,0.3509,0.952,network,0,0
Assurbanipal,0x12018,4,0.817,0.9726,network,0,0
Assurbanipal,0x12018,5,0.8322,0.9431,network,0,0
Assurbanipal,0x12018,6,0.7925,0.9653,network,0,0
Assurbanipal,0x12018,7,0.3907,0.9727,network,0,0
Assurbanipal,0x12018,8,0.9492,0.9573,network,0,0
Assurbanipal,0x12018,9,0.7705,0.9599,network,0,0
Assurbanipal,0x12019,1,0.9085,0.9677,network,0,0
Assurbanipal,0x12019,2,0.6706,0.9763,network,0,0
Assurbanipal,0x12019,3,0.6749,0.9502,skeleton,0,0
Assurbanipal,0x12019,4,0.8986,0.9767,network,0,0
Assurbanipal,0x12019,5,0.5458,0.9746,network,0,0
Assurbanipal,0x12019,6,0.8423,0.9584,network,0,0
Assurbanipal,0x12019,7,0.8423,0.9786,skeleton,0,0
Assurbanipal,0x12019,8,0.0229,0.9665,network,0,0
Assurbanipal,0x12019,9,0.8454,0.9776,network,0,0
Assurbanipal,0x12019,10,0.0079,0.9696,skeleton,0,0
Assurbanipal,0x1201a,1,0.8814,0.9624,network,0,0
Assurbanipal,0x1201a,2,0.6826,0.9423,network,0,0
Assurbanipal,0x1201a,3,0.0335,0.9339,skeleton,0,0
Assurbanipal,0x1201a,4,0.4475,0.9821,network,0,0
Assurbanipal,0x1201a,5,0.8882,0.9794,network,0,0
Assurbanipal,0x1201a,6,0.6893,0.986,network,0,0
Assurbanipal,0x1201a,7,0.9785,0.9801,network,0,0
Assurbanipal,0x1201a,8,0.9577,0.9621,network,0,0
Assurbanipal,0x1201b,1,0.9081,0.9464,network,0,0
Assurbanipal,0x1201b,2,0.7963,0.9801,skeleton,0,0
Assurbanipal,0x1201b,3,0.8905,0.9787,network,0,0
Assurbanipal,0x1201b,4,0.9293,0.9865,network,0,0
Assurbanipal,0x1201b,5,0.8132,0.9696,network,0,0
Assurbanipal,0x1201b,6,0.252,0.9837,network,0,0
Assurbanipal,0x1201b,7,0.8814,0.9634,network,0,0
Assurbanipal,0x1201b,8,0.5176,0.9672,network,0,0
Assurbanipal,0x1201b,9,0.9331,0.9627,network,0,0
Assurbanipal,0x1201b,10,0.5176,0.9801,network,0,0
Assurbanipal,0x1201b,11,0.9331,0.983,network,0,0
Assurbanipal,0x1201b,12,0.9071,0.9788,network,0,0
Assurbanipal,0x1201b,13,0.9223,0.954,network,0,0
Assurbanipal,0x1201e,1,0.8818,0.9526,skeleton,0,0
Assurbanipal,0x1201e,2,0.9038,0.9127,network,0,0
Assurbanipal,0x1201e,3,0.8395,0.9674,network,0,0
Assurbanipal,0x1201e,4,0.9048,0.9678,network,0,0
Assurbanipal,0x1201e,5,0.8146,0.9582,skeleton,0,0
Assurbanipal,0x1201e,6,0.068,0.9728,network,0,0
Assurbanipal,0x1201e,7,0.7394,0.9884,network,0,0
Assurbanipal,0x1201e,8,0.7915,0.9839,network,0,0
Assurbanipal,0x1201e,9,0.8935,0.9739,network,0,0
Assurbanipal,0x1201e,10,0.9071,0.9643,skeleton,0,0
Assurbanipal,0x1201e,11,0.8673,0.9468,network,0,0
Assurbanipal,0x1201f,1,0.8515,0.9517,skeleton,0,0
Assurbanipal,0x1201f,2,0.8747,0.9334,network,0,0
Assurbanipal,0x1201f,3,0.8442,0.9367,skeleton,0,0
Assurbanipal,0x1201f,4,0.5433,0.5433,skeleton,0,0
Assurbanipal,0x1201f,5,0.8117,0.9769,skeleton,0,0
Assurbanipal,0x1201f,6,0.9396,0.98,network,0,0
Assurbanipal,0x1201f,7,0.6174,0.9764,skeleton,0,0
Assurbanipal,0x1201f,8,0.9445,0.973,network,0,0
Assurbanipal,0x1201f,9,0.9472,0.9472,network,0,0
Assurbanipal,0x1201f,10,0.3991,0.9656,network,0,0
Assurbanipal,0x1201f,11,0.9404,0.9404,network,0,0
Assurbanipal,0x1201f,12,0.8806,0.9601,network,0,0
Assurbanipal,0x1201f,13,0.1403,0.9582,network,0,0
Assurbanipal,0x1201f,14,0.8341,0.9721,skeleton,0,0
Assurbanipal,0x1201f,15,0.8442,0.9689,network,0,0
Assurbanipal,0x12021,1,0.9264,0.9601,network,0,0
Assurbanipal,0x12021,2,0.8695,0.9683,network,0,0
Assurbanipal,0x12021,3,0.8069,0.9681,skeleton,0,0
Assurbanipal,0x12021,4,0.8259,0.9574,network,0,0
Assurbanipal,0x12021,5,0.6257,0.9566,network,0,0
Assurbanipal,0x12021,6,0.6183,0.9663,network,0,0
Assurbanipal,0x12021,7,0.9402,0.9548,network,0,0
Assurbanipal,0x12021,8,0.5789,0.9738,network,0,0
Assurbanipal,0x12021,9,0.8818,0.9738,network,0,0
Assurbanipal,0x12021,10,0.8447,0.9669,network,0,0
Assurbanipal,0x12021,11,0.8818,0.9553,network,0,0
Assurbanipal,0x12021,12,0.6081,0.952,network,0,0
Assurbanipal,0x12022,1,0.9163,0.9588,network,0,0
Assurbanipal,0x12022,2,0.8924,0.9716,network,0,0
Assurbanipal,0x12022,3,0.0002,0.9819,network,0,0
Assurbanipal,0x12022,4,0.8449,0.9482,network,0,0
Assurbanipal,0x12022,5,0.8485,0.9631,network,0,0
Assurbanipal,0x12022,6,0.707,0.9814,network,0,0
Assurbanipal,0x12022,7,0.8972,0.9746,skeleton,0,0
Assurbanipal,0x12022,8,0.05,0.9553,network,0,1
Assurbanipal,0x12022,9,0.018,0.9089,network,0,0
Assurbanipal,0x12022,10,0.9267,0.9744,network,0,0
Assurbanipal,0x12022,11,0.8766,0.8766,network,0,0
Assurbanipal,0x12022,12,0.942,0.968,network,0,0
Assurbanipal,0x12022,13,0.698,0.9656,network,0,0
Assurbanipal,0x12023,1,0.8487,0.9647,network,0,0
Assurbanipal,0x12023,2,0.9201,0.9681,network,0,0
Assurbanipal,0x12023,3,0.05,0.9842,network,0,1
Assurbanipal,0x12023,4,0.8487,0.9433,network,0,0
Assurbanipal,0x12023,5,0.8292,0.9552,network,0,0
Assurbanipal,0x12023,6,0.9017,0.9819,network,0,0
Assurbanipal,0x12023,7,0.9405,0.9483,network,0,0
Assurbanipal,0x12023,8,0.9248,0.956,network,0,0
Assurbanipal,0x12023,9,0.7823,0.948,network,0,0
Assurbanipal,0x12024,1,0.8927,0.9724,network,0,0
Assurbanipal,0x12024,2,0.9071,0.9482,network,0,0
Assurbanipal,0x12024,3,0.8389,0.9815,skeleton,0,0
Assurbanipal,0x12024,4,0.9038,0.9448,network,0,0
Assurbanipal,0x12024,5,0.779,0.9399,network,0,0
Assurbanipal,0x12024,6,0.8289,0.9604,network,0,0
Assurbanipal,0x12024,7,0.9201,0.9397,network,0,0
Assurbanipal,0x12024,8,0.6926,0.9358,network,0,0
Assurbanipal,0x12024,9,0.0326,0.9678,skeleton,0,0
Assurbanipal,0x12024,10,0.9461,0.9736,network,0,0
Assurbanipal,0x12024,11,0.7182,0.9185,network,0,0
Assurbanipal,0x12026,1,0.9081,0.9649,network,0,0
Assurbanipal,0x12026,2,0.8747,0.967,network,0,0
Assurbanipal,0x12026,3,0.0011,0.9713,network,0,0
Assurbanipal,0x12026,4,0.8874,0.9421,network,0,0
Assurbanipal,0x12026,5,0.8429,0.9719,network,0,0
Assurbanipal,0x12026,6,0.8802,0.9653,network,0,0
Assurbanipal,0x12026,7,0.8802,0.9258,network,0,0
Assurbanipal,0x12026,8,0.5974,0.967,network,0,0
Assurbanipal,0x12026,9,0.928,0.9757,network,0,0
Assurbanipal,0x12026,10,0.4902,0.9636,network,0,0
Assurbanipal,0x12026,11,0.9,0.9614,network,0,0
Assurbanipal,0x12026,12,0.9205,0.9205,network,0,0
Assurbanipal,0x12026,13,0.819,0.968,network,0,0
Assurbanipal,0x12027,1,0.9223,0.9668,network,0,0
Assurbanipal,0x12027,2,0.8822,0.9702,network,0,0
Assurbanipal,0x12027,3,0.0,0.961,network,0,0
Assurbanipal,0x12027,4,0.8704,0.9358,network,0,0
Assurbanipal,0x12027,5,0.8259,0.9236,network,0,0
Assurbanipal,0x12027,6,0.0359,0.988,network,0,0
Assurbanipal,0x12027,7,0.8751,0.941,network,0,0
Assurbanipal,0x12027,8,0.9093,0.9093,network,0,0
Assurbanipal,0x12027,9,0.0136,0.9109,network,0,0
Assurbanipal,0x12027,10,0.5936,0.9312,network,0,0
Assurbanipal,0x12028,1,0.8789,0.9592,network,0,0
Assurbanipal,0x12028,2,0.9154,0.9598,network,0,0
Assurbanipal,0x12028,3,0.0,0.9765,network,0,0
Assurbanipal,0x12028,4,0.9071,0.9263,network,0,0
Assurbanipal,0x12028,5,0.7295,0.9631,network,0,0
Assurbanipal,0x12028,6,0.9303,0.9529,skeleton,0,0
Assurbanipal,0x12028,7,0.65,0.9706,skeleton,0,0
Assurbanipal,0x12028,8,0.8434,0.9798,network,0,0
Assurbanipal,0x12028,9,0.6522,0.9287,network,0,0
Assurbanipal,0x12028,10,0.0046,0.8199,network,1,0
Assurbanipal,0x12028,11,0.8838,0.9655,network,0,0
Assurbanipal,0x12028,12,0.748,0.961,network,0,0
Assurbanipal,0x12029,1,0.8846,0.9692,network,0,0
Assurbanipal,0x12029,2,0.9147,0.9263,network,0,0
Assurbanipal,0x12029,3,0.9147,0.9483,network,0,0
Assurbanipal,0x12029,4,0.9308,0.9581,network,0,0
Assurbanipal,0x12029,5,0.8846,0.9709,network,0,0
Assurbanipal,0x12029,6,0.8636,0.9627,network,0,0
Assurbanipal,0x12029,7,0.9328,0.9377,network,0,0
Assurbanipal,0x12029,8,0.912,0.9524,network,0,0
Assurbanipal,0x12029,9,0.912,0.9495,network,0,0
Assurbanipal,0x12029,10,0.0026,0.9885,network,0,0
Assurbanipal,0x12029,11,0.0599,0.9182,network,0,0
Assurbanipal,0x12029,12,0.8164,0.9658,network,0,0
Assurbanipal,0x12029,13,0.5366,0.963,network,0,0
Assurbanipal,0x12029,14,0.8164,0.9406,network,0,0
Assurbanipal,0x12029,15,0.9031,0.9651,network,0,0
Assurbanipal,0x12029,16,0.9031,0.926,network,0,0
Assurbanipal,0x12029,17,0.7886,0.9741,network,0,0
Assurbanipal,0x12029,18,0.8773,0.9219,network,0,0
Assurbanipal,0x12029,19,0.8004,0.9576,network,0,0
Assurbanipal,0x12029,20,0.5472,0.9782,network,0,0
Assurbanipal,0x12029,21,0.796,0.9766,network,0,0
Assurbanipal,0x1202c,1,0.9301,0.9604,network,0,0
Assurbanipal,0x1202c,2,0.5875,0.9423,network,0,0
Assurbanipal,0x1202c,3,0.4562,0.9775,network,0,0
Assurbanipal,0x1202c,4,0.8993,0.9584,network,0,0
Assurbanipal,0x1202c,5,0.4644,0.9182,network,0,0
Assurbanipal,0x1202c,6,0.745,0.9408,network,0,0
Assurbanipal,0x1202c,7,0.0007,0.9782,skeleton,1,0
Assurbanipal,0x1202c,8,0.0013,0.4385,network,0,0
Assurbanipal,0x1202f,1,0.8982,0.975,network,0,0
Assurbanipal,0x1202f,2,0.9154,0.9466,network,0,0
Assurbanipal,0x1202f,3,0.8632,0.9346,network,0,0
Assurbanipal,0x1202f,4,0.8664,0.9587,network,0,0
Assurbanipal,0x1202f,5,0.3743,0.944,network,0,0
Assurbanipal,0x1202f,6,0.6893,0.9674,network,0,0
Assurbanipal,0x1202f,7,0.8916,0.9414,network,0,0
Assurbanipal,0x1202f,8,0.9088,0.9771,skeleton,0,0
Assurbanipal,0x1202f,9,0.8278,0.8278,network,0,0
Assurbanipal,0x12035,1,0.8717,0.966,network,0,0
Assurbanipal,0x12035,2,0.0,0.9687,network,0,0
Assurbanipal,0x12035,3,0.892,0.9692,network,0,0
Assurbanipal,0x12035,4,0.0006,0.9821,network,0,0
Assurbanipal,0x12035,5,0.6339,0.9099,network,0,0
Assurbanipal,0x12035,6,0.1485,0.9268,network,0,0
Assurbanipal,0x12035,7,0.8615,0.9696,network,0,0
Assurbanipal,0x12035,8,0.8202,0.9576,network,0,0
Assurbanipal,0x12039,1,0.784,0.9517,skeleton,0,0
Assurbanipal,0x1203a,1,0.873,0.9709,network,0,0
Assurbanipal,0x1203c,1,0.8236,0.9334,network,0,0
Assurbanipal,0x1203c,2,0.6988,0.908,network,0,0
Assurbanipal,0x1203c,3,0.7178,0.9247,network,0,0
Assurbanipal,0x1203d,1,0.0005,0.967,skeleton,0,0
Assurbanipal,0x1203d,2,0.7432,0.908,network,0,0
Assurbanipal,0x1203d,3,0.8939,0.9519,skeleton,0,0
Assurbanipal,0x1203d,4,0.8418,0.9526,network,0,0
Assurbanipal,0x1203d,5,0.9017,0.9838,skeleton,0,0
Assurbanipal,0x1203d,6,0.446,0.8864,skeleton,0,0
Assurbanipal,0x1203d,7,0.0,0.595,skeleton,0,0
Assurbanipal,0x1203f,1,0.7988,0.9252,skeleton,0,0
Assurbanipal,0x1203f,2,0.0,0.9271,network,0,1
Assurbanipal,0x1203f,3,0.3262,0.9849,network,0,0
Assurbanipal,0x1203f,4,0.8726,0.9433,network,0,0
Assurbanipal,0x1203f,5,0.8901,0.9406,network,0,0
Assurbanipal,0x1203f,6,0.282,0.8749,network,0,0
Assurbanipal,0x12041,1,0.756,0.9036,network,0,0
Assurbanipal,0x12041,2,0.2816,0.9487,network,1,0
Assurbanipal,0x12048,1,0.9068,0.9401,network,0,0
Assurbanipal,0x12048,2,0.3794,0.9421,network,0,0
Assurbanipal,0x12048,3,0.8964,0.9499,network,0,0
Assurbanipal,0x12048,4,0.8935,0.9353,skeleton,0,0
Assurbanipal,0x12048,5,0.881,0.9363,network,0,0
Assurbanipal,0x12048,6,0.851,0.978,network,0,0
Assurbanipal,0x12048,7,0.462,0.9312,network,0,0
Assurbanipal,0x12048,8,0.8659,0.9727,network,0,0
Assurbanipal,0x12048,9,0.8822,0.9508,network,0,0
Assurbanipal,0x1204b,1,0.303,0.941,network,0,0
Assurbanipal,0x1204b,2,0.8677,0.9545,network,0,0
Assurbanipal,0x1204b,3,0.9132,0.9788,network,0,0
Assurbanipal,0x1204b,4,0.7162,0.9805,network,0,0
Assurbanipal,0x1204b,5,0.935,0.9843,network,0,0
Assurbanipal,0x1204b,6,0.8751,0.9612,network,0,0
Assurbanipal,0x1204b,7,0.4409,0.7349,skeleton,1,0
Assurbanipal,0x1204e,1,0.8909,0.9702,network,0,0
Assurbanipal,0x1204e,2,0.9333,0.9863,network,0,0
Assurbanipal,0x1204e,3,0.8844,0.8844,network,0,0
Assurbanipal,0x1204e,4,0.9387,0.9524,network,0,0
Assurbanipal,0x1204e,5,0.8862,0.9571,network,0,0
Assurbanipal,0x1204e,6,0.9028,0.9219,network,0,0
Assurbanipal,0x1204e,7,0.0,0.9279,network,0,0
Assurbanipal,0x1204e,8,0.9007,0.9574,network,0,0
Assurbanipal,0x1204e,9,0.924,0.9639,skeleton,0,0
Assurbanipal,0x1204e,10,0.7736,0.9617,skeleton,0,0
Assurbanipal,0x1204e,11,0.847,0.9842,network,0,0
Assurbanipal,0x1204e,12,0.0005,0.9718,network,0,0
Assurbanipal,0x1204e,13,0.9333,0.9798,network,0,0
Assurbanipal,0x1204e,14,0.9141,0.9783,network,0,0
Assurbanipal,0x1204e,15,0.6469,0.9593,network,0,0
Assurbanipal,0x12050,1,0.8989,0.98,network,0,0
Assurbanipal,0x12050,2,0.7484,0.9419,network,0,0
Assurbanipal,0x12050,3,0.841,0.841,network,0,0
Assurbanipal,0x12050,4,0.8808,0.8808,network,0,0
Assurbanipal,0x12050,5,0.7405,0.9655,network,0,0
Assurbanipal,0x12050,6,0.7656,0.983,network,0,0
Assurbanipal,0x12050,7,0.9201,0.9614,network,0,0
Assurbanipal,0x12050,8,0.8563,0.9716,network,0,0
Assurbanipal,0x12051,1,0.8512,0.9788,network,0,0
Assurbanipal,0x12051,2,0.7495,0.8988,skeleton,0,0
Assurbanipal,0x12051,3,0.4012,0.9561,network,0,0
Assurbanipal,0x12051,4,0.0001,0.9579,skeleton,0,0
Assurbanipal,0x12051,5,0.7202,0.9592,network,0,0
Assurbanipal,0x12051,6,0.8627,0.8918,network,0,0
Assurbanipal,0x12051,7,0.8078,0.923,network,0,0
Assurbanipal,0x12052,1,0.889,0.9789,network,0,0
Assurbanipal,0x12052,2,0.9445,0.9843,network,0,0
Assurbanipal,0x12052,3,0.785,0.9446,network,0,0
Assurbanipal,0x12052,4,0.8317,0.9315,network,0,0
Assurbanipal,0x12052,5,0.8964,0.9511,network,0,0
Assurbanipal,0x12052,6,0.8566,0.9832,network,0,0
Assurbanipal,0x12052,7,0.0004,0.9772,network,0,0
Assurbanipal,0x12052,8,0.0006,0.9799,network,0,0
Assurbanipal,0x12052,9,0.9206,0.9737,network,0,0
Assurbanipal,0x12052,10,0.752,0.9635,network,0,0
Assurbanipal,0x12052,11,0.7546,0.9573,network,0,0
Assurbanipal,0x12052,12,0.752,0.98,network,0,0
Assurbanipal,0x12052,13,0.6211,0.8601,network,0,0
Assurbanipal,0x12052,14,0.628,0.8289,network,0,0
Assurbanipal,0x12054,1,0.9045,0.952,network,0,0
Assurbanipal,0x12054,2,0.8666,0.8666,network,0,0
Assurbanipal,0x12054,3,0.5978,0.985,network,0,0
Assurbanipal,0x12054,4,0.8721,0.9715,network,0,0
